no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,Movable_assets,Immovable_assets
4,0,0,5500000,21200000,20,359,25000000,9500000
4,0,0,3300000,10800000,4,552,11900000,5100000
4,0,1,2100000,8200000,20,432,6600000,6900000
1,0,1,6000000,13400000,12,731,28200000,5600000
1,1,1,800000,2200000,4,852,3200000,1100000
5,1,0,1400000,5300000,12,778,5100000,2300000
5,0,1,2300000,6100000,6,339,10700000,7600000
3,1,0,6900000,27400000,4,406,29200000,16700000
5,1,0,6600000,25800000,10,670,29100000,11800000
3,0,0,8900000,24400000,10,774,38700000,17300000
2,1,0,8400000,20700000,6,513,26700000,16900000
3,0,1,6700000,13400000,14,782,35400000,8900000
0,1,1,5100000,14500000,14,559,18300000,12100000
3,0,0,5000000,17600000,8,303,19700000,15900000
3,1,0,5500000,20500000,12,634,26700000,9400000
1,1,1,5300000,18500000,6,501,20900000,15300000
5,0,1,2300000,6700000,16,612,10800000,10000000
3,1,1,2100000,6100000,8,346,7400000,6100000
4,1,0,9800000,29400000,8,592,44900000,45800000
2,0,1,6100000,22300000,8,694,30100000,27100000
1,1,1,4700000,18700000,20,445,15100000,2100000
3,1,1,4600000,13600000,20,729,23100000,10200000
0,0,1,2900000,9900000,8,312,14900000,6300000
5,0,1,2600000,5500000,8,676,8500000,7500000
5,1,1,2100000,4900000,12,651,7900000,4600000
1,0,1,1000000,3700000,14,798,5200000,2200000
1,0,1,6600000,20700000,4,594,35300000,5000000
1,1,1,2800000,9100000,14,510,13400000,6600000
1,0,1,600000,2000000,10,326,3100000,1400000
3,0,0,6100000,20700000,4,816,30100000,20300000
0,1,1,8600000,32600000,8,778,44600000,35600000
2,1,1,8400000,20800000,12,335,28600000,19000000
5,0,1,6400000,23900000,6,406,29700000,27100000
1,1,1,5200000,20700000,12,612,19700000,4800000
5,1,0,5300000,14600000,16,855,18600000,5800000
2,1,1,2800000,10100000,16,531,11300000,5800000
0,1,0,7000000,23600000,14,663,28500000,22900000
1,0,0,7400000,15500000,2,693,31100000,15800000
5,1,1,7000000,26900000,4,889,29800000,5600000
3,1,1,5400000,14700000,4,359,21200000,22200000
1,1,1,7900000,19100000,2,593,33900000,33000000
2,1,1,5000000,14600000,10,808,20400000,7900000
3,1,1,7800000,24400000,20,490,21800000,11800000
1,0,0,5700000,15500000,8,544,27900000,19200000
0,1,1,7300000,22600000,12,851,30100000,6700000
3,1,0,3400000,13500000,10,348,12900000,11600000
5,1,1,6800000,19000000,8,865,31300000,16700000
5,0,0,8300000,31800000,16,858,34800000,35700000
0,1,1,8200000,28800000,4,619,29300000,10100000
0,1,1,7300000,24000000,18,651,24100000,16700000
4,0,1,6900000,20200000,18,438,32500000,15800000
3,1,0,7100000,27900000,8,583,25900000,16500000
2,0,0,1800000,5700000,14,502,5700000,2500000
4,0,1,1700000,6500000,20,636,8500000,2600000
0,0,0,1800000,5700000,18,306,7300000,1200000
0,1,1,6800000,17300000,18,841,24700000,19100000
4,1,1,8800000,22200000,10,512,41800000,10800000
5,1,1,4800000,17000000,10,666,15300000,12200000
0,0,1,2400000,7200000,20,514,8500000,6200000
3,1,0,5100000,14500000,12,306,14500000,9500000
3,1,1,5200000,16300000,8,335,20900000,16500000
3,1,1,8100000,23300000,20,657,34300000,18600000
3,1,1,8500000,28300000,2,810,29200000,29500000
0,1,1,6600000,23300000,12,338,28200000,3200000
1,0,1,5200000,16300000,6,524,25300000,14400000
1,0,0,6700000,18700000,8,583,24000000,13400000
2,1,0,3500000,14000000,2,355,14700000,10300000
0,0,0,9700000,31600000,18,607,39900000,32200000
1,0,1,7800000,16200000,2,335,35100000,12800000
3,0,0,7800000,15900000,2,665,32600000,15300000
2,1,1,6700000,20200000,6,701,22100000,21000000
4,1,1,2700000,6800000,10,455,10100000,7300000
4,1,1,5500000,18200000,16,797,23400000,4800000
0,1,1,9600000,22900000,8,515,41100000,19000000
1,0,1,7100000,20800000,20,437,33500000,16900000
0,0,0,9200000,28200000,12,455,40600000,25600000
3,1,1,9200000,35000000,4,716,45000000,11300000
1,0,1,4600000,13500000,20,837,14400000,13300000
0,1,0,7900000,31500000,14,849,37200000,29700000
3,0,0,4100000,15300000,6,440,10200000,12600000
2,0,0,5300000,19300000,16,368,15300000,15100000
5,1,1,9800000,37900000,18,301,40500000,11600000
1,0,1,8600000,19600000,16,498,26300000,17800000
2,1,0,4500000,14500000,18,498,18300000,8100000
2,1,0,3200000,8600000,18,638,12100000,5900000
3,1,1,8500000,26100000,2,683,29800000,17000000
0,1,1,8200000,19100000,2,764,24500000,31800000
0,0,1,8200000,19200000,16,492,27200000,25700000
5,1,1,8400000,17600000,12,397,32400000,27900000
4,1,1,3600000,9500000,2,841,15600000,9300000
0,1,1,900000,2100000,6,521,2800000,1800000
5,0,1,7600000,20000000,10,522,24700000,22900000
4,0,1,300000,500000,14,448,900000,800000
3,0,1,9000000,30400000,6,638,36100000,27800000
4,0,0,7200000,16900000,4,702,31600000,23000000
3,0,1,3000000,7100000,6,415,12000000,7700000
0,1,0,300000,500000,18,376,1100000,300000
0,0,1,200000,300000,18,520,700000,400000
4,1,0,4000000,15100000,8,800,16600000,15600000
4,0,1,6900000,16300000,8,606,27300000,6700000
1,0,1,5600000,11700000,6,707,22900000,5300000
0,0,0,4700000,15200000,10,786,12800000,19100000
3,1,1,5900000,20600000,10,777,27600000,6500000
0,1,1,3300000,9600000,8,465,11700000,6800000
4,1,1,4300000,15000000,8,383,13900000,4800000
3,0,1,6500000,22400000,6,488,28500000,28500000
2,0,1,7400000,27300000,18,561,36700000,13000000
5,0,0,6100000,23500000,16,300,27600000,1000000
1,1,1,1600000,4400000,4,364,6700000,3200000
0,0,1,6000000,23900000,4,394,26400000,12500000
3,1,1,7700000,29300000,10,359,26100000,12900000
5,1,1,400000,1400000,4,483,900000,1800000
5,0,1,1000000,2600000,8,664,4400000,2100000
5,1,1,7600000,23000000,10,829,24900000,10400000
2,0,0,6500000,16200000,10,809,21800000,18700000
1,1,1,2400000,8800000,18,414,9600000,5800000
3,1,1,600000,2400000,12,884,2000000,1400000
0,1,1,6900000,21300000,18,845,28000000,23000000
4,1,1,9000000,31100000,8,896,36500000,11500000
3,0,1,7800000,27700000,6,430,31400000,10000000
1,1,1,7700000,19100000,10,355,28500000,16200000
1,0,0,1600000,3500000,18,619,7800000,3300000
3,0,1,3900000,14000000,18,829,14300000,9200000
4,0,1,5600000,14100000,14,696,23300000,18200000
0,0,1,5300000,10600000,2,828,23200000,14800000
3,1,1,8800000,34600000,8,386,24400000,31300000
2,0,1,3100000,10700000,4,398,9400000,6100000
0,1,1,9000000,24300000,10,599,33300000,16300000
4,1,0,7400000,17900000,6,384,27100000,25700000
0,1,0,1100000,4100000,18,887,3900000,1700000
5,0,0,4200000,12500000,18,723,19000000,1500000
3,0,1,7400000,18200000,14,302,22900000,8700000
2,1,1,5000000,10700000,2,753,17200000,21600000
3,0,0,5100000,11000000,6,336,19100000,5700000
0,1,1,8300000,17500000,20,643,23900000,33700000
1,0,1,4000000,10900000,14,598,18000000,10200000
2,1,0,6400000,23900000,18,745,23300000,18800000
0,0,1,8100000,17600000,16,384,41900000,28500000
4,0,0,3700000,12300000,6,364,18100000,10100000
3,1,1,8800000,28600000,10,775,41600000,10200000
1,0,0,700000,1400000,6,759,3300000,1500000
2,0,0,8200000,22500000,18,857,36800000,27700000
5,1,0,9100000,27800000,16,547,41300000,28900000
3,1,1,7800000,17700000,6,876,35900000,30800000
4,1,0,7700000,24500000,20,582,35600000,16400000
5,1,1,9200000,36300000,2,655,40900000,4200000
5,1,0,900000,2800000,16,808,3900000,3000000
1,0,1,300000,1000000,14,324,1200000,200000
4,1,1,7600000,20000000,18,691,34600000,13700000
0,0,0,1500000,4300000,12,801,4400000,6600000
0,0,0,4400000,14100000,2,349,15000000,4600000
3,0,0,1600000,5500000,12,425,6300000,1400000
2,1,0,1600000,5200000,16,525,7200000,3200000
0,0,1,8500000,25300000,20,557,31000000,18100000
1,0,0,7200000,21000000,14,421,26400000,15100000
0,0,0,8500000,21000000,6,665,38800000,13200000
4,1,0,6000000,18700000,2,623,24800000,8300000
1,1,1,8000000,28000000,20,830,36200000,35000000
5,0,1,6000000,11900000,2,629,23400000,2500000
0,1,0,2500000,5800000,20,671,9500000,7900000
4,0,1,6500000,25700000,18,311,28000000,14800000
5,1,0,5200000,13700000,16,531,18600000,13300000
4,0,1,2600000,5900000,6,471,10700000,5400000
2,1,1,1500000,4500000,14,826,6200000,4900000
5,1,1,1100000,2700000,4,889,2700000,2900000
2,0,1,8800000,30800000,20,820,38600000,5500000
3,0,0,1700000,5400000,6,710,7500000,5500000
4,0,1,7200000,26000000,6,571,26800000,4700000
1,0,1,5400000,21400000,8,350,26500000,3600000
2,0,1,4200000,16800000,2,433,17800000,3300000
1,1,1,8700000,28300000,8,402,38100000,34000000
2,0,0,5100000,11000000,14,322,16600000,10800000
5,1,0,1000000,2300000,16,423,4300000,2400000
0,0,1,2800000,7800000,10,405,10500000,10300000
4,1,1,1600000,4400000,20,382,7100000,2000000
2,1,1,1900000,6800000,6,892,7300000,4800000
0,0,1,5500000,18200000,4,332,22000000,12100000
3,1,1,1000000,3200000,14,790,4700000,2000000
4,1,0,2900000,8700000,6,409,10400000,9200000
3,1,0,9500000,22200000,8,571,34900000,13000000
0,1,1,600000,1800000,12,511,2600000,500000
2,0,1,1700000,4300000,6,765,4300000,6500000
3,1,0,6800000,17900000,6,783,29100000,29800000
5,0,1,7400000,17100000,2,441,31400000,16300000
1,0,1,4000000,12100000,12,356,20600000,13000000
2,0,0,8000000,31900000,16,806,28600000,21700000
2,1,1,9800000,38200000,10,743,29600000,20200000
1,1,0,6600000,19700000,12,758,28300000,20400000
0,0,1,3300000,9700000,14,356,11300000,14600000
3,1,0,7200000,20800000,16,560,24700000,12800000
3,0,1,1900000,5300000,12,436,7600000,5800000
3,1,0,8900000,35200000,10,894,37500000,22700000
0,1,0,5700000,13000000,6,328,28900000,15300000
0,1,0,4300000,11000000,4,374,14000000,14400000
1,0,1,5800000,13000000,12,862,15900000,19700000
1,0,0,8300000,30000000,18,350,33200000,23600000
1,0,1,9000000,18800000,8,797,30400000,13500000
0,1,0,5900000,23300000,16,581,20700000,10300000
1,0,0,3700000,13600000,16,608,16200000,2600000
4,1,1,1400000,4300000,16,447,6300000,4800000
0,1,1,4600000,15100000,2,417,18400000,9500000
1,0,0,5400000,17900000,14,727,17000000,13100000
2,1,0,5400000,13800000,20,574,14600000,10100000
2,0,0,500000,1700000,10,324,2500000,600000
1,1,0,1100000,3700000,2,508,3500000,200000
4,0,0,5700000,21900000,2,871,20500000,4900000
2,0,0,800000,3200000,8,317,2900000,1300000
1,0,0,1900000,4200000,12,821,7700000,6700000
4,1,0,2400000,8000000,18,393,10600000,100000
2,1,0,6800000,14800000,14,803,26200000,14600000
2,0,1,8000000,28400000,10,607,40600000,15200000
5,0,0,9500000,19200000,2,523,27700000,15000000
2,1,1,3800000,10000000,12,516,19300000,6600000
1,0,0,4100000,8400000,20,608,14400000,9400000
2,0,0,3100000,8700000,18,544,13700000,6400000
2,0,0,4600000,15000000,4,817,19600000,9600000
2,0,1,7600000,18100000,14,320,36600000,17300000
0,1,0,8500000,17200000,12,624,23700000,14900000
5,1,1,6500000,18900000,12,427,26000000,7000000
1,1,0,2300000,8200000,8,784,8700000,2000000
3,1,1,2500000,9800000,16,424,7100000,7900000
2,0,0,5400000,14500000,8,349,27700000,15600000
3,0,0,8800000,20400000,8,483,40000000,14600000
3,1,0,5800000,20100000,18,791,21900000,12200000
3,1,0,8300000,24100000,14,823,31700000,6600000
1,1,1,8700000,20500000,6,523,28500000,25800000
5,1,1,6700000,17600000,14,843,25100000,12900000
5,1,0,3700000,9100000,18,368,11700000,5800000
0,1,1,7200000,15600000,2,362,26700000,5100000
4,0,1,600000,2300000,6,495,2300000,2300000
3,1,1,6700000,15800000,4,445,23200000,18100000
0,0,1,7400000,16300000,16,630,33700000,24400000
3,0,1,9700000,19700000,4,663,41400000,18900000
5,1,0,7800000,27000000,6,728,25900000,17500000
4,1,0,1000000,3800000,2,611,3100000,3500000
3,0,1,3400000,7200000,12,733,10300000,7500000
1,0,1,1600000,4100000,6,391,6400000,5700000
4,0,0,9300000,26100000,16,623,31800000,22200000
4,0,1,3400000,11800000,20,616,12800000,8300000
5,0,1,3900000,12700000,8,886,20300000,9300000
4,1,1,5200000,11400000,10,406,17400000,16700000
0,1,0,7200000,15800000,12,379,25100000,24900000
2,1,0,8400000,23200000,16,476,27300000,20600000
3,0,1,3100000,11200000,14,772,10400000,9200000
4,1,1,9100000,35200000,6,341,31300000,1300000
5,0,0,6700000,17200000,18,613,31700000,16500000
3,1,1,3500000,12000000,2,786,12400000,7000000
3,0,1,8400000,19600000,2,741,27000000,21700000
0,1,0,8400000,19600000,18,530,36500000,20600000
4,1,0,5500000,12300000,6,742,24100000,15600000
5,1,1,7600000,18700000,14,509,25900000,17000000
0,0,0,4400000,14700000,16,638,17100000,6700000
1,1,1,9500000,30500000,12,430,41300000,13400000
0,0,0,1100000,3200000,20,716,5100000,3200000
5,0,0,3300000,9100000,18,697,13900000,10600000
1,1,1,1100000,2700000,16,346,3000000,2200000
2,1,1,1900000,6700000,16,893,7900000,9200000
4,1,1,8700000,30000000,4,370,46700000,33200000
4,0,1,300000,1100000,4,457,1500000,800000
1,1,1,9400000,29800000,10,377,42600000,42600000
5,1,0,8100000,26300000,4,429,29100000,12100000
0,1,1,4300000,15600000,18,440,14700000,7500000
5,0,0,7300000,26200000,10,751,37100000,13600000
2,1,1,3900000,7700000,10,421,16200000,17200000
2,0,0,8200000,27200000,10,425,33800000,16300000
3,0,1,1100000,3800000,20,814,4300000,2900000
1,0,1,1400000,4200000,4,881,6400000,4000000
0,1,1,2600000,7600000,18,470,8400000,1400000
1,1,0,9500000,20000000,16,856,41900000,24900000
2,0,0,700000,2600000,20,489,3300000,300000
4,0,0,700000,2300000,16,688,2300000,1800000
3,0,0,4700000,17400000,10,393,24000000,17700000
2,1,1,7000000,22500000,12,632,25300000,17100000
2,1,1,2500000,7200000,16,315,7700000,8800000
3,0,0,6700000,15500000,18,492,35700000,4100000
4,1,0,1900000,3800000,20,785,7600000,1600000
2,1,0,6900000,18700000,10,699,26400000,18500000
4,0,1,2900000,8300000,10,318,13000000,12800000
0,1,0,8400000,20800000,20,590,42900000,14000000
5,1,0,2600000,9100000,4,309,9300000,7800000
3,0,0,9400000,21900000,16,685,39500000,13700000
0,1,1,8200000,31500000,8,403,25100000,20300000
4,1,0,1700000,4000000,6,829,6900000,1600000
2,0,0,9400000,25100000,20,832,28200000,21500000
2,1,1,8200000,28700000,14,316,22000000,39400000
2,0,1,9100000,20900000,20,632,43200000,4600000
1,0,0,900000,2600000,4,346,3800000,1100000
1,1,1,400000,1300000,18,801,2100000,100000
4,1,0,900000,3300000,10,649,3000000,400000
5,1,1,600000,1200000,8,343,2200000,800000
2,1,1,2900000,10200000,10,315,8100000,8500000
0,1,0,8100000,26500000,20,342,29500000,11400000
2,1,0,5300000,13100000,14,417,25000000,11100000
1,1,1,8900000,32000000,16,711,27300000,5500000
1,0,1,400000,700000,10,787,2100000,1200000
2,1,0,7100000,27000000,10,430,28700000,29000000
2,0,1,6500000,20900000,14,327,27500000,8300000
4,0,0,7900000,31500000,20,534,28000000,20900000
2,0,0,9300000,21200000,2,509,42400000,5400000
5,1,1,1100000,3800000,18,387,5400000,2500000
0,1,0,4100000,8800000,18,300,12100000,17300000
0,0,1,7500000,16600000,14,440,34400000,31700000
3,1,0,9200000,35500000,2,715,31500000,22900000
1,0,0,4600000,16700000,16,407,12600000,19000000
1,1,1,2100000,4200000,18,554,7900000,4200000
5,1,1,6500000,13800000,10,636,27500000,18500000
4,0,0,7000000,18900000,6,475,19900000,7400000
3,1,0,1800000,5700000,2,422,6000000,4800000
2,1,0,8500000,29400000,12,576,34200000,23200000
2,0,0,7900000,18500000,18,727,26700000,32600000
3,0,1,4700000,16400000,10,318,20500000,19500000
5,1,0,9800000,26600000,12,664,36600000,8100000
2,1,0,5400000,11900000,6,303,22300000,24200000
2,0,0,4100000,12800000,16,344,19900000,17300000
1,0,0,3400000,8600000,6,640,12200000,8700000
0,0,0,9100000,21100000,20,578,39300000,12100000
2,0,1,4500000,12600000,2,568,20700000,10800000
5,0,0,7500000,15800000,18,458,30800000,14300000
2,0,0,9800000,32400000,2,543,33400000,41700000
0,0,0,8800000,32900000,18,576,38200000,10000000
3,0,0,600000,1200000,2,752,3000000,1600000
3,0,1,7800000,25600000,6,523,30000000,20700000
4,0,1,7300000,17200000,18,831,28200000,22800000
2,1,0,3700000,10900000,12,788,14800000,2400000
4,1,1,5900000,15000000,14,626,25800000,21000000
5,1,1,4400000,12500000,6,740,15300000,10500000
1,0,0,4100000,9100000,20,550,15600000,15100000
2,0,0,6900000,18200000,20,396,28300000,19900000
3,1,0,2900000,6300000,8,648,9000000,6800000
1,0,1,200000,400000,8,569,1000000,400000
4,0,1,8000000,31200000,6,482,27900000,31300000
0,1,0,3000000,6500000,2,612,8400000,12200000
5,1,1,6200000,23600000,10,331,32500000,28800000
1,1,1,8700000,33800000,18,558,37400000,29800000
2,1,1,600000,1700000,2,495,1700000,1900000
3,0,1,5800000,16700000,18,633,18400000,16500000
1,1,1,6000000,20300000,14,845,32400000,12800000
2,1,1,200000,700000,16,641,700000,800000
3,0,0,7700000,25300000,18,662,29000000,14800000
5,0,1,3900000,9000000,8,340,14200000,11700000
3,1,1,2100000,7400000,4,320,8500000,6000000
4,0,0,1100000,4000000,14,887,5800000,3900000
4,1,0,2400000,7300000,4,540,10000000,2800000
2,1,0,400000,1500000,4,743,1500000,1200000
5,0,1,5300000,17800000,16,505,18700000,17700000
4,0,1,7800000,25600000,4,665,35500000,3300000
2,0,0,6400000,16900000,16,472,20800000,17100000
2,0,0,9000000,35700000,12,339,28500000,23600000
4,0,1,9100000,28400000,12,808,29000000,37600000
1,1,1,3200000,8100000,10,670,11100000,12900000
2,0,0,2000000,6200000,16,696,6700000,4700000
4,0,1,6300000,23900000,6,899,27300000,11300000
0,0,1,6900000,26800000,20,515,25000000,13300000
1,0,1,9500000,35400000,14,439,33700000,1600000
3,0,1,6400000,15800000,18,628,30100000,9600000
2,0,0,3200000,12600000,18,796,11600000,9700000
3,1,1,6100000,20900000,18,470,25500000,9000000
1,0,0,2600000,9900000,6,594,9200000,7200000
5,0,0,4600000,14400000,6,785,20900000,12800000
2,1,0,4400000,10600000,20,488,17800000,13200000
2,0,1,900000,3500000,6,763,2600000,2600000
2,1,0,8400000,28300000,10,822,37400000,17800000
0,0,0,300000,500000,18,702,1300000,700000
5,1,1,2100000,6500000,10,796,10000000,5200000
3,0,1,9100000,30100000,14,564,30900000,33900000
2,1,0,8500000,32700000,18,471,46400000,22000000
3,0,1,7800000,26300000,20,840,29400000,12500000
1,0,0,7100000,26000000,16,727,27800000,13800000
0,0,1,5400000,21400000,8,721,24100000,14600000
1,0,0,300000,1200000,18,747,900000,100000
2,1,0,9900000,31600000,16,892,44100000,21700000
0,1,1,9600000,23800000,12,389,35300000,41000000
3,1,0,1600000,5600000,6,710,7600000,3900000
3,0,0,4300000,16300000,10,366,17800000,13600000
1,1,0,6900000,14400000,10,828,35700000,17600000
2,1,0,4900000,13500000,8,328,21700000,18600000
5,1,1,7400000,24000000,16,854,29300000,11000000
2,1,1,2100000,4500000,2,787,8100000,7600000
3,1,1,9700000,30800000,18,471,47700000,16500000
0,0,0,4800000,18600000,6,618,20800000,18200000
2,1,1,5100000,13700000,6,559,17800000,17600000
1,0,1,9900000,39500000,12,808,43700000,15500000
2,0,1,4600000,12600000,2,355,21300000,13200000
5,0,1,700000,1300000,16,362,3000000,3400000
1,1,0,5900000,13000000,6,779,19700000,22400000
0,1,1,7000000,24600000,6,542,29200000,9000000
5,0,0,1600000,4000000,18,529,7300000,1500000
0,1,1,2600000,5400000,2,377,8800000,5000000
2,1,1,8500000,30900000,14,511,27400000,27700000
3,0,0,4900000,12800000,14,653,20200000,8300000
4,0,1,2900000,10500000,8,607,11400000,9900000
4,1,1,6200000,18300000,4,900,21700000,20300000
3,1,1,8900000,20900000,6,859,40400000,26100000
4,0,0,5900000,14400000,6,745,19500000,20400000
2,1,1,1600000,4300000,20,512,7200000,5700000
3,1,0,6300000,23800000,10,760,27200000,14000000
1,1,0,5100000,14200000,6,451,17000000,13700000
1,0,1,9600000,34100000,20,828,33200000,45100000
3,1,1,4100000,10900000,8,548,17500000,14000000
0,0,1,3500000,13900000,16,301,11400000,10400000
4,1,1,4000000,14500000,6,711,15000000,8100000
0,1,1,9000000,18700000,18,865,32200000,26800000
2,1,1,3300000,9600000,18,896,17000000,10800000
3,0,0,2300000,5600000,18,420,8800000,1900000
2,0,1,8800000,34400000,2,712,35200000,23000000
5,0,1,2300000,5600000,8,642,11100000,4500000
3,0,1,9100000,18800000,20,308,25300000,24700000
3,1,0,1200000,2400000,12,480,4800000,3100000
4,1,0,400000,900000,12,478,1300000,800000
1,0,1,7800000,23300000,6,620,29800000,5600000
3,1,1,7300000,20000000,18,720,32800000,25400000
0,0,1,3900000,12800000,18,587,17600000,9800000
3,0,1,4600000,10900000,12,856,12700000,18600000
3,1,0,3200000,9200000,14,443,11700000,4400000
1,0,0,3200000,8900000,12,866,12300000,5800000
4,1,0,3400000,10500000,16,543,15600000,7600000
1,1,0,3900000,12300000,10,683,14100000,1700000
3,0,0,2700000,7800000,14,870,7800000,10700000
1,0,1,6800000,27200000,2,702,33400000,7000000
3,0,1,9500000,25700000,18,446,39400000,30500000
5,0,0,5900000,13400000,6,455,28500000,14400000
4,1,0,7100000,28200000,14,496,32300000,17200000
5,0,1,9200000,28800000,20,618,44500000,25100000
2,0,0,2400000,7700000,6,719,8300000,7700000
2,0,1,4900000,12600000,2,767,16800000,8500000
1,1,1,8100000,27600000,16,438,40200000,11500000
0,1,1,3500000,12600000,10,448,14000000,3700000
3,1,0,6900000,15600000,20,310,25200000,8100000
4,0,1,5400000,21500000,14,555,21800000,5800000
3,1,1,1100000,3100000,16,356,4600000,1400000
3,1,1,6000000,21300000,4,802,24900000,13600000
0,1,1,9400000,35500000,16,592,36300000,21100000
0,0,1,2400000,6900000,4,581,9400000,9600000
1,1,0,4400000,12100000,4,884,21000000,16300000
0,0,0,5300000,17900000,6,678,18000000,8600000
0,0,1,7100000,20100000,16,756,23000000,13000000
2,0,1,9200000,25300000,4,827,30300000,41800000
4,1,0,6400000,14800000,6,537,25100000,6000000
0,1,0,7000000,25300000,14,697,21000000,25500000
3,1,1,6000000,18700000,18,783,29100000,11300000
0,0,0,5600000,13400000,2,460,18900000,7500000
4,1,1,2600000,8500000,4,392,11700000,5600000
0,1,1,3300000,11300000,20,559,12900000,7100000
2,1,0,5300000,20200000,10,348,23400000,18700000
4,0,0,7600000,29800000,20,361,21200000,19600000
1,1,1,400000,1400000,12,468,1900000,700000
4,1,1,4300000,16100000,18,849,23500000,10400000
1,0,0,1600000,5400000,4,319,5800000,6400000
3,0,0,1500000,3200000,4,767,5100000,2400000
0,0,0,9500000,28400000,18,577,44300000,16500000
4,0,1,7000000,27100000,12,881,26700000,17700000
2,1,1,3700000,13900000,2,405,14600000,9100000
5,1,1,6000000,14700000,18,462,17300000,25100000
2,1,1,7100000,19700000,20,890,26200000,17800000
1,0,1,600000,1800000,8,799,3000000,1700000
0,1,0,3600000,7800000,14,376,14900000,16700000
2,1,0,5600000,13700000,2,558,18800000,16800000
4,0,0,8800000,20700000,18,540,35100000,22400000
3,0,1,3900000,14300000,18,785,18800000,18500000
0,0,0,6600000,20100000,16,397,25600000,26200000
2,1,0,5000000,12400000,8,709,17500000,18100000
4,0,1,8600000,27900000,8,458,45700000,24200000
3,1,0,2200000,6400000,20,667,11200000,10200000
1,1,1,2600000,6600000,20,765,6500000,2300000
1,0,1,1600000,4900000,16,487,5900000,5400000
2,0,0,3900000,13600000,10,373,12000000,12600000
3,0,0,2200000,6400000,2,318,5800000,3500000
2,1,1,8700000,19900000,10,829,28600000,18000000
3,0,1,8000000,25300000,4,306,31000000,29600000
4,0,0,4600000,12500000,6,406,20800000,11000000
3,0,1,1400000,2700000,14,694,5300000,4000000
2,1,0,9900000,19900000,6,312,42400000,23600000
0,1,1,200000,700000,20,724,800000,600000
3,0,0,9800000,30300000,2,612,37700000,15300000
3,0,0,2100000,7700000,6,703,9500000,4700000
1,0,0,500000,1300000,14,619,2500000,1600000
0,0,1,2500000,5800000,18,494,10800000,9500000
0,0,0,7600000,28700000,6,397,28400000,24200000
1,0,1,6800000,17600000,14,344,25800000,11100000
3,0,1,4100000,15500000,6,667,18700000,4400000
3,1,0,3700000,10900000,16,301,13000000,10100000
1,0,0,9800000,37900000,4,816,34600000,34000000
2,0,0,4800000,18500000,20,605,20500000,11200000
0,0,1,2200000,8300000,10,585,6200000,5300000
5,1,0,9900000,33600000,20,580,52100000,17800000
1,0,0,6300000,19000000,20,673,20200000,22700000
2,1,1,2000000,5300000,10,681,7200000,6300000
4,1,1,5000000,18000000,14,307,16100000,10900000
5,1,1,7500000,20800000,6,617,27500000,14300000
3,1,0,3700000,8500000,20,853,12400000,14000000
0,0,1,3500000,10600000,4,389,11600000,13100000
5,1,1,2600000,9300000,16,697,11400000,6300000
3,0,0,4200000,12500000,20,375,13300000,6400000
3,1,1,1800000,5300000,14,440,4700000,2100000
0,1,0,2500000,6900000,12,471,6700000,11100000
0,1,0,500000,1900000,2,857,2100000,1600000
0,0,0,4300000,16900000,8,884,15700000,11900000
2,1,1,5500000,18400000,10,515,22600000,11200000
1,0,0,7200000,15100000,8,379,29900000,10900000
1,0,0,6600000,24800000,4,500,22800000,12700000
4,0,0,4800000,12000000,6,441,21400000,9700000
2,0,0,4800000,18900000,4,866,19800000,16200000
1,1,0,2900000,11500000,20,431,9000000,7400000
0,0,1,200000,600000,8,852,600000,500000
3,1,0,8400000,27200000,12,604,28400000,30200000
4,0,1,3200000,10700000,4,450,10000000,10300000
3,0,0,3400000,8900000,6,896,14400000,9000000
5,0,0,7400000,27100000,4,320,34600000,34400000
2,0,1,4900000,12200000,18,353,18000000,7200000
4,0,0,9400000,32600000,4,898,32200000,22200000
0,0,1,5300000,17600000,4,790,27400000,12200000
1,1,1,1800000,5500000,10,426,7500000,6500000
1,1,0,5200000,10500000,20,317,24600000,11000000
2,1,1,8800000,31100000,12,729,31300000,14700000
2,1,1,7300000,28500000,10,799,20100000,24600000
3,1,1,900000,2300000,12,900,4400000,1300000
2,1,0,6100000,21800000,4,407,26000000,9900000
4,0,0,600000,1800000,6,851,2900000,1200000
1,0,0,6500000,23100000,20,741,33600000,19900000
2,1,0,9100000,24900000,16,822,36200000,34400000
2,1,1,7200000,21900000,12,640,18400000,11400000
0,1,0,800000,2900000,2,439,3900000,1000000
1,1,0,9600000,32400000,20,447,24500000,33800000
0,0,0,5200000,13400000,2,505,26600000,19900000
1,1,1,8200000,32400000,18,831,25500000,35100000
2,1,0,5500000,20400000,12,887,15600000,18200000
5,1,1,8800000,26600000,16,545,38000000,35700000
4,0,1,8800000,34200000,16,844,31400000,29700000
2,0,0,8100000,20800000,18,778,27300000,19600000
0,0,1,6700000,14900000,16,638,30400000,10200000
1,0,1,6000000,23300000,12,672,26000000,13300000
3,0,1,7400000,19600000,2,716,33300000,13000000
0,1,1,2000000,4600000,16,651,8800000,4500000
1,0,0,1600000,4600000,12,415,5400000,1400000
0,1,1,3600000,13400000,6,589,15200000,3600000
4,0,1,700000,2400000,14,705,2700000,100000
4,1,1,7000000,19800000,16,682,21800000,14600000
3,1,1,3700000,13800000,10,621,17200000,4800000
1,0,1,9800000,21200000,4,885,48100000,34400000
